name,group,physician_number,low,medium,high,total
Clinician 1,senior,1,71,98,74,243
Clinician 2,intern,2,144,89,32,265
Clinician 3,intern,3,77,64,31,172
Clinician 4,intern,4,139,87,58,284
Clinician 5,intern,5,55,26,41,122
Clinician 6,intern,6,22,62,89,173
Clinician 7,junior,7,397,70,82,549
Clinician 8,senior,8,205,99,133,437
Clinician 9,junior,9,134,95,135,364
Clinician 10,senior,10,102,43,18,163
Clinician 11,middle,11,193,201,300,694
Clinician 12,middle,12,231,45,56,332
Clinician 13,middle,13,156,137,136,429
Clinician 14,middle,14,71,78,129,278
Clinician 15,intern,15,118,36,89,243
Clinician 16,intern,16,187,154,365,706
Clinician 17,middle,17,78,62,36,176
Clinician 18,intern,18,122,153,168,443
Clinician 19,middle,19,274,166,111,551
Clinician 20,senior,20,282,78,86,446
Clinician 21,senior,21,115,62,87,264
Clinician 22,middle,22,363,61,172,596
Clinician 23,middle,23,54,98,49,201
Clinician 24,middle,24,83,26,162,271
Clinician 25,middle,25,150,254,153,557
Clinician 26,middle,26,70,45,56,171
Clinician 27,senior,27,184,201,218,603
Clinician 28,junior,28,181,38,142,361
Clinician 29,senior,29,210,106,152,468
Clinician 30,middle,30,68,35,13,116
Clinician 31,intern,31,274,53,161,488
Clinician 32,junior,32,142,68,118,328
Clinician 33,intern,33,88,59,116,263
Clinician 34,middle,34,223,85,109,417
Clinician 35,junior,35,291,52,157,500
Clinician 36,junior,36,311,81,118,510
Clinician 37,intern,37,144,101,126,371
Clinician 38,intern,38,146,81,102,329
Clinician 39,senior,39,121,76,114,311
Clinician 40,senior,40,219,80,117,416
Clinician 41,senior,41,193,129,129,451
Clinician 42,junior,42,156,62,143,361
Clinician 43,middle,43,76,114,119,309
Clinician 44,junior,44,289,76,64,429
Clinician 45,senior,45,198,107,104,409
